PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
AirCoolingModule.AirCoolingDeviceFile.TargetTemp;40;TargetTemp;UNKNOWN;;;;0;0;0;0;TargetTemp;0
AutoTiltModule.AutoTiltDeviceFile.PinAdjustEnable;41;?? ?? ?? ??/??;???;;98;;0;0;0;0;?? ?? ?? ??? ??? ? ? ? ?????. (ON/OFF);0
AutoTiltModule.AutoTiltDeviceFile.TiltIntPlaneMinMaxtol;42;TiltIntPlaneMinMaxtol;???;;98;micron;0;200;0;0;?? ??;0
AutoTiltModule.AutoTiltDeviceFile.TiltSkipAreaRatioX;43;TiltSkipAreaRatioX;UNKNOWN;;;;0;0;0;0;TiltSkipAreaRatioX;0
AutoTiltModule.AutoTiltDeviceFile.TiltSkipAreaRatioY;44;TiltSkipAreaRatioY;UNKNOWN;;;;0;0;0;0;TiltSkipAreaRatioY;0
BinManager.BinDeviceParam.BinInfos;1641;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.AddedPCDetectEXSensorOnPlate;20003147;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.BlTubSynqNetControl;20003149;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.BlZIFoutputMode;20003143;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardCahngerAttached;20003125;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.CheckDualPeak;20003178;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.CheckFlatness;20003177;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.CheckPotential;20003175;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.CheckThresholdFocusValue;20003176;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.DepthOfField;20003169;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FlatnessThreshold;20003172;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FocusingAxis;20003181;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FocusingCam;20003179;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FocusingROI;20003180;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FocusingType;20003182;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FocusMaxStep;20003167;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FocusRange;20003168;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.FocusThreshold;20003171;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.CardFocusParam.OutFocusLimit;20003170;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
