No,EventCodeEnum,Value,Used,Notify,Description
104,PIN_FOCUS_FAILED,0x00013017,,O,
105,PIN_FIND_CENTER_FAIL,0x00013018,,,
106,PIN_GROUP_FAIL,0x00013019,,,
107,PIN_DIRECTSTOP_PINFAIL,0x00013020,,,
108,PIN_FAIL_PERCENT_TOLERANCE,0x00013021,,,
109,PIN_EXEED_POS_TOLERANCE,0x00013022,,,
110,PIN_EXEED_MINMAX_TOLERANCE,0x00013023,,O,
111,PIN_CARD_CENTER_TOLERANCE,0x00013024,,O,
112,PIN_PAD_MATCH_FAIL,0x00013025,,O,
113,PIN_VIRTUAL_POS_TOLERANCE,0x00013026,,,
114,PIN_INVALID_PINSTEP,0x00013027,,,
115,PIN_INVAILD_CAM_RATIO,0x00013028,,,
116,PIN_TILT_TRIGGER,0x00013029,,,
117,PIN_PROBEHEAD_PLANARITY_ERROR,0x00013030,,,
118,PIN_EACH_PIN_TOLERANCE_FAIL,0x00013031,,O,
119,PIN_REGISTRATION_FAIL,0x00013032,,,
120,PIN_LOW_OVER_TOLERENCE,0x00013033,,,
121,PIN_INVALID_PAD_DATA,0x00013034,,,
122,PIN_OVER_ANGLE_TOLERANCE,0x00013035,,,
123,PIN_INVALID_LIST,0x00013036,,,
124,PIN_ALIGN_VERIFY_ERROR,0x00013037,,,
125,PIN_CENTER_POSITION_EXCEED_TOLERANCE,0x00013038,,,
126,PIN_BLOB_POSITION_EXCEED_TOLERANC,0x00013039,,,
127,PIN_ALIGN_FAILED_AFTER_SOAKING,0x00013040,,,
128,PIN_TEACH_FAILED,0x00013041,,,
129,PIN_HIGH_KEY_INVAILD,0x00013042,,,
130,PIN_TIP_ALIGN_FAILED,0x00013043,,,
131,PIN_TIP_ALIGN_PASSED,0x00013044,,,
132,PIN_TIP_BASE_DISTANCE_TOLERANCE,0x00013045,,,
133,SAMPLE_PIN_ALIGN_PASSED,0x00013046,,,
134,PIN_MANUALOPERATION_COMMAND_REJECTED,0x00013047,,,
135,PIN_TIP_SIZE_VALIDATION_FAIL,0x00013048,,O,
136,TOLERANCE_EACHPIN_FAIL,0x00014000,,,
137,TOLERANCE_MINMAX_FAIL,0x00014001,,,
138,TOLERANCE_CARDCENTER_FAIL,0x00014002,,,
139,MOTION_MOVING_ERROR,0x00015000,,,
140,MOTION_MOTIONDONE_ERROR,0x00015001,,O,
141,MOTION_TIMEOUT_ERROR,0x00015002,,,
142,MOTION_EVENTDONE_ERROR,0x00015019,,,
143,MOTION_MONITOR_ERROR,0x00015020,,,
144,MOTION_CONFIGCAPTURE_ERROR,0x00015021,,,
145,MOTION_CAPTURE_ERROR,0x00015022,,,
146,MOTION_CHUCKTILT_ERROR,0x00015023,,O,
147,MOTION_DANGEROUS_POS,0x00015024,,O,
148,MOTION_REGISTRATION_RANGE_WAFER_ERROR,0x00015025,,,
149,MOTION_INVALID_AXIS_OBJECT_ERROR,0x00015026,,,
150,MOTION_INIT_ERROR,0x00015027,,,
151,MOTION_ABS_MOVING_ERROR,0x00015028,,,
152,MOTION_PAUSE_ERROR,0x00015029,,,
153,MOTION_REL_MOVING_ERROR,0x00015030,,,
154,MOTION_STOP_ERROR,0x00015031,,,
155,MOTION_DEINIT_ERROR,0x00015032,,,
156,MOTION_GET_VELOCITY_ERROR,0x00015033,,,
157,MOTION_POS_SW_LIMIT_ERROR,0x00015101,,O,
158,MOTION_NEG_SW_LIMIT_ERROR,0x00015102,,O,
159,MOTION_DISABLE_AXIS_ERROR,0x00015103,,,
160,MOTION_AMPFAULT_CLEAR_ERROR,0x00015104,,,
161,MOTION_ENABLE_AXIS_ERROR,0x00015105,,,
162,MOTION_APPLYAXISCONFIG_ERROR,0x00015106,,,
163,MOTION_GETPOSITION_ERROR,0x00015107,,,
164,MOTION_GETPULSE_ERROR,0x00015108,,,
165,MOTION_GETAXISINPUTS_ERROR,0x00015110,,,
166,MOTION_GET_AXIS_STATE_ERROR,0x00015111,,,
167,MOTION_GETCAPTURESTATUS_ERROR,0x00015112,,,
168,MOTION_GET_AXIS_STATUS_ERROR,0x00015113,,,
169,MOTION_HOMING_ERROR,0x00015115,,O,
170,MOTION_SETTING_ERROR,0x00015116,,,
171,MOTION_SETPOSITION_ERROR,0x00015117,,,
172,MOTION_SETPULSE_ERROR,0x00015118,,,
173,MOTION_GET_COMMAND_POSITION_ERROR,0x00015134,,,
174,MOTION_GET_COMMAND_PULSE_ERROR,0x00015135,,,
175,MOTION_GET_ACTUAL_POSITION_ERROR,0x00015136,,,
176,MOTION_GET_ACTUAL_PULSE_ERROR,0x00015137,,,
177,MOTION_VMOVING_ERROR,0x00015138,,,
178,MOTION_FATAL_ERROR,0x00015139,,,
179,MOTION_STAGE_INIT_ERROR,0x00015140,,O,
180,MOTION_LOADER_INIT_ERROR,0x00015141,,,
181,MOTION_STAGESTATE_NOT_IDLE,0x00015142,,,
182,MOTION_ERROR_LIMIT_POSITION_ERROR,0x00015143,,,
183,MOTION_RESUME_ERROR,0x00015144,,,
184,MOTION_REGISTRATION_RANGE_PIN_ERROR,0x00015145,,,
185,MOTION_REGISTRATION_RANGE_TOUCHSENSOR_ERROR,0x00015146,,,
186,MOTION_UNAVAILABLE_AXIS_ERROR,0x00015147,,,
187,MOTION_CONFIG_FILE_LOADING_FAIL,0x00015148,,O,
188,MOTION_CARD_POD_MODULE_IS_ABOVE_THE_CHUCK,0x00015149,,,
189,MOTION_THREE_LEG_UP_ERROR,0x00015150,,,
190,MOTION_THREE_LEG_DOWN_ERROR,0x00015151,,,
191,MOTION_THREE_POD_LOAD_UNBALANCE_ERROR,0x00015152,,O,
192,WAFER_ALING_FAIL,0x00017000,,O,
193,WA_CONTROL_FAIL,0x00017001,,,
194,WAFER_SETUP_PROCEDURE_EROOR,0x00017002,,,
195,WAFER_NOT_EXIST_EROOR,0x00017003,,,
196,WAFERALIGN_MODULE_STATE_CANTRUN,0x00017004,,,
197,WAFERALIGN_USER_CANCEL,0x00017005,,,
198,WAFERALIGN_LOAD_ANGLE_OVER_TOLERANCE,0x00017006,,,
199,WAFER_NOT_STANDARD_TYPE,0x00017007,,,
200,WAFERALIGN_TEMP_DEVIATION_OUTOFRANGE,0x00017008,,,
201,WAFERALIGN_MANUALOPERATION_COMMAND_REJECTED,0x00017009,,,
202,WAFERTHICKNESS_VALIDATION_FAILED,0x00017010,,,
203,WAFER_EDGE_NOT_FOUND,0x00017100,,O,
204,EDGE_SKIPED,0x00017101,,,
205,WAFER_PATTERN_INTERVALINDEX_NOT_FOUND,0x00017201,,,
206,WAFER_JUMPINDEX_NOT_FOUND,0x00017202,,,
207,WAFER_COMPARE_JUMPINDEX_FAILED,0x00017203,,,
208,THETA_ALIGN_PATTERN_VALIDATION_TESTING_FAILED,0x00017204,,,
209,REGISTE_PATTERN_FAILED,0x00017205,,,
210,THETA_ALIGN_USER_CANCEL,0x00017206,,,
211,PATTERN_SIZE_ERROR,0x00017207,,,
