No,EventCodeEnum,Value,Used,Notify,Description
431,GP_CardChange_CARD_IS_NOT_TOUCHED_ON_POGO,0x00033006,,,
432,GP_CardChange_PROBE_CARD_LATCH_IS_LOCKED,0x00033007,,,
433,GP_CardChange_PROBE_CARD_LATCH_IS_UNLOCKED,0x00033008,,,
434,GP_CardChange_TOP_PLATE_AND_TESTER_DOCKED,0x00033009,,,
435,GP_CardChange_TOP_PLATE_AND_TESTER_UNDOCKED,0x00033010,,,
436,GP_CardChange_CARD_IS_NOT_STUCK_IN_POGO,0x00033011,,,
437,GP_CardChange_CARD_IS_STUCK_IN_POGO,0x00033012,,,
438,GP_CardChange_ERROR_OCCURED_WHILE_MOVE_TO_LOADER,0x00033013,,,
439,GP_CardChange_ERROR_OCCURED_WHILE_CHUCK_MOVE_TO_POGO,0x00033014,,,
440,GP_CardChange_ERROR_OCCURED_WHILE_CHUCK_MOVE_TO_SAFE_POSITION,0x00033015,,,
441,GP_CardChange_CARD_POD_VAC_ON_ERROR,0x00033016,,,
442,GP_CardChange_CARD_POD_VAC_OFF_ERROR,0x00033017,,,
443,GP_CardChange_CARD_AND_POGO_CONTACT_ERROR,0x00033018,,,
444,GP_CardChange_POGO_SIDE_VAC_OFF_ERROR,0x00033019,,,
445,GP_CardChange_TOP_PLATE_AND_TESTER_VAC_ON_ERROR,0x00033020,,,
446,GP_CardChange_TOP_PLATE_AND_TESTER_VAC_OFF_ERROR,0x00033021,,O,
447,GP_CardChange_CARD_ALIGN_FAIL,0x00033022,,,
448,GP_CardChange_EXIST_CARD_IN_STAGE,0x00033023,,,
449,GP_CardChange_NOT_EXIST_CARD_IN_STAGE,0x00033024,,,
450,GP_CardChange_IO_ERROR,0x00033025,,,
451,GP_CardChange_MOVE_ERROR,0x00033026,,O,
452,GP_CardChange_DOCK_FAIL,0x00033027,,O,
453,GP_CardChange_UNDOCK_FAIL,0x00033028,,,
454,GP_CardChange_INIT_FAIL,0x00033029,,,
455,GP_CardChange_RECOVERY_FAIL,0x00033030,,O,
456,GP_CardChange_ALREADY_RUNNING,0x00033031,,,
457,GP_CardChange_CHECK_TO_LATCH,0x00033032,,,
458,GP_CardChange_CHECK_TO_CARD_UP_MOUDLE,0x00033033,,,
459,CARD_CHANGE_SUCCESS,0x00033034,,O,
460,GP_CardChange_CARRIER_ON_POD,0x00033035,,,
461,GP_CardChange_CARRIER_NOT_ON_POD,0x00033036,,,
462,GP_CardChange_CARD_IS_ON_TOPPLATE,0x00033037,,,
463,GP_CardChange_CARD_NOT_ON_TOPPLATE,0x00033038,,,
464,GP_CardChange_CARD_STATE_CHANGED,0x00033039,,,
465,GP_CARD_ROT_UNLOCK_FAIL,0x00033100,,,
466,GP_CARD_ROT_LOCK_FAIL,0x00033101,,,
467,GP_CARDCHANGE_STATE_ERROR,0x00033102,,,
468,GP_CARDCHANGE_RAISE_PROBE_CARD_POD_ERROR,0x00033103,,,
469,CARDCHANGE_NOT_SATISFIED_WITH_THE_CONDITION_TEMP,0x00033104,,,
470,CARDCHANGE_UNNECESSARY_RECOVER_TMPERATURE,0x00033105,,,
471,CARDCHANGE_CANNOT_RECOVER_PREV_TEMP_NOT_EXIST_CARD,0x00033106,,,
472,CARDCHANGE_CANNOT_RECOVER_PREV_TEMP_DOOR_OPENED,0x00033107,,,
473,WAIT_FOR_CARD_PERMISSION_START,0x00033108,,O,
474,WAIT_FOR_CARD_PERMISSION_END,0x00033109,,O,
475,TESTERHEAD_NOT_LOCKED_STATE,0x0003310A,,,
476,TESTERHEAD_NOT_UNLOCKED_STATE,0x0003310B,,,
477,NOT_EXPECTED_TESTER_INTERFACE,0x0003310C,,,
478,TESTER_CLAMP_NOT_LOCKED_STATE,0x0003310D,,,
479,TESTER_CLAMP_NOT_UNLOCKED_STATE,0x0003310E,,,
480,GEM_NOT_EXIST_PROCESSER,0x00034000,,,
481,GEM_PIV_SET_EXCEPTION,0x00034010,,,
482,GEM_PRE_CHECK_EXCEPTION,0x00034011,,,
483,GEM_RCMD_TIMEOUT,0x00034012,,,
484,GEM_COMMAND_PERFORM,0x00034013,,,
485,GEM_COMMAND_REJECT,0x00034014,,,
486,ENVCONTROL_CONNECT_ERROR,0x00035000,,,
487,ENVCONTROL_ALREADY_CONNECT,0x00035001,,,
488,ENVCONTROL_NOT_CONNECTED,0x00035002,,,
489,ENVCONTROL_COMM_ERROR,0x00035003,,,
490,ENV_CONDITIONS_NOT_SATISFIED,0x00035500,,,
491,ENV_TEMPARATURE_OUT_OF_RANGE,0x00035501,,,
492,ENV_TEMPERATURE_STATE_ERROR,0x00035502,,,
493,ENV_TEMPERATURE_STATE_SUSPEND,0x00035503,,,
494,ENV_TEMPERATURE_WAIT_DONE,0x00035504,,,
495,ENV_TEMPERAUTRE_NOT_MATCHED,0x00035505,,,
496,ENV_VALVE_STATE_ERROR,0x00035506,,,
497,ENV_CHILLER_MODULE_NOT_EXIST,0x00035507,,,
498,ENV_CHILLER_NOT_ACTIVATE,0x00035508,,,
499,CHILLER_CONNECT_ERROR,0x00036000,,,
500,CHILLER_NOT_CONNECTED,0x00036001,,O,
501,CHILLER_MODE_ISNOT_ONLINE,0x00036002,,,
502,CHILLER_SERVICE_MANAGER_IS_NULL,0x00036003,,,
503,CHILLER_REMOTE_CHANNEL_FAULT,0x00036004,,,
504,CHILLER_REMOTE_CONNECT_ERROR,0x00036005,,,
505,CHILLER_SET_TARGET_TEMP_ERROR,0x00036006,,,
506,CHILLER_SET_TARGET_TEMP_FAIL_INVALID_DATA,0x00036007,,,
507,CHILLER_SET_TARGET_TEMP_FAIL_DIFF_ACTIVE,0x00036008,,,
508,CHILLER_SET_TARGET_TEMP_FAIL_EXIST_RUNNING_CELL,0x00036009,,,
509,CHILLER_INIT_ERROR,0x0003600A,,,
510,CHILLER_ACTIVATE_ERROR,0x0003600B,,,
511,CHILLER_INACTIVATE_ERROR,0x0003600C,,,
512,CHILLER_COOLANT_ERROR,0x0003600D,,,
513,CHILLER_OVERLOAD_ERROR,0x0003600E,,,
514,CHILLER_PUMP_ERROR,0x0003600F,,,
515,CHILLER_PUMP_SPPED_NOT_ZERO,0x00036010,,,
516,CHILLER_CHECK_CAN_USE_CHILLER_ERROR,0x00036011,,,
517,CHILLER_CHECK_CHILLER_GROUP_ERROR,0x00036012,,,
518,CHILLER_CHECK_ALREADY_OCCUPY,0x00036013,,,
519,CHILLER_ERROR_OCCURRED,0x00036014,,O,
520,CHILLER_WARNING_OCCURRED,0x00036015,,O,
521,DRYAIR_REMOTE_CONNECT_ERROR,0x00037000,,,
522,DRYAIR_REMOTE_CHANNEL_FAULT,0x00037001,,,
523,DRYAIR_SETVALUE_ERROR,0x00037002,,,
524,DRYAIR_SETVALUE_IO_WRITEBIT_ERROR,0x00037003,,,
525,DRYAIR_GETLEAK_SENSOR_ERROR,0x00037004,,,
526,VALVE_SET_ERROR,0x00038000,,,
527,DEW_POINT_SENSOR_ERR,0x00039000,,,
528,DEW_POINT_SENSOR_LOW_ERR,0x00039001,,,
529,DEW_POINT_SENSOR_HI_ERR,0x00039002,,,
530,DEW_POINT_TIMEOUT,0x00039003,,O,
531,DEW_POINT_HIGH_ERR,0x00039100,,O,
532,DEW_POINT_LD_HIGH_ERR,0x00039101,,,
533,DEW_POINT_STG_HIGH_ERR,0x00039102,,,
534,PMI_GROUPING_ERROR,0x00040000,,,
535,PMI_GROUPSEQUENCE_ERROR,0x00040001,,,
536,PMI_PAD_RESULT_NOT_PROCESSED,0x00040002,,,
537,PMI_PAD_RESULT_FAIL,0x00040003,,,
538,PMI_PAD_RESULT_SUCCESS,0x00040004,,,
539,PMI_NOT_EXIST_TABLE,0x00040005,,,
540,PMI_PAUSE_IMMEDIATELY,0x00040006,,,
541,PMI_PAUSE_AFTER_ALL_DIE_INSPECTION,0x00040007,,,
542,PMI_IMAGE_SAVE_ERROR,0x00040008,,,
543,PMI_ORIGINAL_IMAGE_SAVE_ERROR,0x00040009,,,
544,PMI_NOT_FOUND_PAD,0x0004000A,,,
545,HEATER_POWER_SUPPLY_FAIL,0x00041000,,O,
546,TEMPARATURE_ERROR_HOT,0x00041001,,,
547,TEMPARATURE_ERROR_COLD,0x00041002,,,
548,TEMPARATURE_OUT_OF_RANGE,0x00041003,,,
549,TEMPARATURE_OUT_RANGE_HOT,0x00041004,,O,
550,TEMPARATURE_OUT_RANGE_COLD,0x00041005,,O,
551,TEMPARATURE_IN_RANGE_HOT,0x00041006,,O,
552,TEMPARATURE_IN_RANGE_COLD,0x00041007,,O,
553,TEMPARATURE_EXCLUDED_TEMP_TABLE,0x00041008,,,
554,TEMPARATURE_CHANGE_TRIGGER_HEATER,0x00041009,,,
555,TEMPARATURE_CHANGE_TRIGGER_CHILLER,0x0004100A,,,
556,TEMPERATURE_TEMP_SET_FAIL_CARD_NOT_EXIST,0x0004100B,,,
557,SENSOR_ALARM_DETECTED,0x0004100C,,,
558,SENSOR_DISCONNECTED,0x0004100D,,,
559,SEND_CURRENT_MAP_FAIL,0x00042000,,,
560,MAP_CONVERT_FAIL,0x00042002,,O,
561,MAP_SAVE_FAIL,0x00042003,,,
562,CONTINUOUS_FAIL_ACTION,0x00042004,,,"(원샷은 해당 안됨) 웨이퍼를 찍는데 연속적으로 Probing Fail 이 계속될때(Count 체크), 혹은 연속적이 아니라도 Total bin count 를 보고 Fail Count 를 오버할때. "
563,LOW_YIELD_OCCURRED,0x00042005,,,"전체 Wafer(전체) yield,  전체 wafer contact 횟수 중 N번째 이후 부터 확인. (찍은 wafer 횟수에 대비한 yield)"
564,LOW_DUT_YIELD_OCCURRED,0x00042006,,,Dut 들간의 편차를 보는데 특정 Dut 의 yield 만 Range 를 벗어났을 경우.
565,BIN_PF_DATA_IS_NOT_MATCHED,0x00042007,,,Prober 와 Tester Server 간의 Bin Table 이 안맞을 경우.
566,FFU_NOT_DEFINED,0x00043000,,,
567,FFU_AC_POWER_INPUT_ERROR,0x00043001,,,
568,FFU_AC_FREQUENCY_ERROR,0x00043002,,,
569,FFU_PFC_UNDER_VOLTAGE,0x00043003,,,
570,FFU_PFC_OVER_VOLTAGE,0x00043004,,,
571,FFU_TEMPERATURE_MOTER_ERROR,0x00043005,,,
572,FFU_TEMPERATURE_CONTROLLER_ERROR,0x00043006,,,
573,FFU_TEMPERATURE_IPM_ERROR,0x00043007,,,
574,FFU_OVER_CURRENT_PROTECTION,0x00043008,,,
575,FFU_IPM_MODULE_ERROR,0x00043009,,,
576,FFU_OVER_CURRENT,0x00043010,,,
577,FFU_MOTOR_DID_LOCK,0x00043011,,,
578,FFU_MOTOR_SENSOR_ERROR,0x00043012,,,
579,FFU_SHORT_CURRENT,0x00043013,,,
580,FFU_MOTOR_OVER_CURRENT,0x00043014,,,
581,FFU_PFC_ERROR_WITHOUT_VOLTAGE,0x00043015,,,
582,FFU_DIRECTION_MOTOR_ROTATION_ERROR,0x00043016,,,
583,FFU_TIMEOUT_ERROR,0x00043017,,O,
584,FFU_AC_RECOVERY,0x00043018,,O,
585,FFU_OFFLINE_FRONT,0x00043019,,O,
586,FFU_OFFLINE_BACK,0x00043020,,O,
587,FFU_RECOVERY_FRONT,0x00043021,,O,
588,FFU_RECOVERY_BACK,0x00043022,,O,
589,E84_CONNECT_ERROR,0x00044000,,,
590,E84_SEQUENCE_ERROR,0x00044001,,,
591,E84_CST_DETACH_STATE_ERROR,0x00044002,,,
592,E84_CST_ATTACH_STATE_ERROR,0x00044003,,,
593,E84_LOAD_PORT_ACCESS_VIOLATION,0x00044004,,O,
594,MONITORING_EMERGENCY_BUTTON_ON,0x00050000,,,
595,MONITORING_MAIN_AIR_ERROR,0x00050001,,,
596,MONITORING_MAIN_VACUUM_ERROR,0x00050002,,,
597,MONITORING_MAIN_POWER_ERROR,0x00050003,,,
598,MONITORING_AXIS_STATE_ERROR,0x00050004,,,
599,MONITORING_AXIS_STATE_INVALID,0x00050005,,,
600,MONITORING_AXIS_STATE_DISABLED,0x00050006,,,
601,MONITORING_TESTER_EMERGENCY_BUTTON_ON,0x00050007,,,
602,MONITORING_CARDCHANGE_STATE_ERROR,0x00050008,,,
603,MONITORING_CHUCK_6VAC_ERROR,0x00050009,,O,
604,MONITORING_CHUCK_8VAC_ERROR,0x00050010,,O,
605,MONITORING_CHUCK_12VAC_ERROR,0x00050011,,O,
606,MONITORING_WAFER_SIZE_ERROR,0x00050012,,,
607,MONITORING_PREALIGN_VAC_ERROR,0x00050013,,O,
608,MONITORING_ARM1_VAC_ERROR,0x00050014,,,
609,MONITORING_ARM2_VAC_ERROR,0x00050015,,,
610,MONITORING_THREELEG_ERROR,0x00050016,,O,
611,MONITORING_FRONT_DOOR_ERROR,0x00050017,,,
612,MONITORING_LOADER_DOOR_ERROR,0x00050018,,,
613,MONITORING_LOADER_WAFEROUTSENSOR_ERROR,0x00050019,,,
614,MONITORING_BUZZER_ERROR,0x00050020,,,
615,MONITORING_MACHINE_INIT_ERROR,0x00050021,,O,
616,MONITORING_STAGE_EMG_STOP,0x00050022,,,
617,MONITORING_LOADER_EMG_STOP,0x00050023,,,
618,MONITORING_NEEDLE_AIR_ERROR,0x00050024,,,
619,MONITORING_THREEPOD_COOLING_ERROR,0x00050025,,,
620,MONITORING_START,0x00050026,,,
621,MONITORING_MACHINEINIT_ON,0x00050027,,,
622,MONITORING_STAGE_BACKSIDEDOOR_OPEN,0x00050028,,,
623,MONITORING_STAGE_BACKSIDEDOOR_CLOSE,0x00050029,,,
624,DOT_NET_ERROR,0x00051000,,,
625,STAGEMOVE_NOTIMPLEMENT_ERROR,0x00051001,,,
626,STAGEMOVE_WAFER_HIGH_VIEW_MOVE_ERROR,0x00051002,,,
627,STAGEMOVE_WAFER_LOW_VIEW_MOVE_ERROR,0x00051003,,,
628,STAGEMOVE_PIN_HIGH_VIEW_MOVE_ERROR,0x00051004,,,
629,STAGEMOVE_PIN_LOW_VIEW_MOVE_ERROR,0x00051005,,,
630,STAGEMOVE_TOUCHSENSOR_HIGH_VIEW_MOVE_ERROR,0x00051006,,,
631,STAGEMOVE_TOUCHSENSOR_LOW_VIEW_MOVE_ERROR,0x00051007,,,
632,STAGEMOVE_ZCLEARD_MOVE_ERROR,0x00051008,,,
633,STAGEMOVE_MOVE_PAD_TO_PIN_ERROR,0x00051009,,,
634,STAGEMOVE_PROBING_Z_DOWN_ERROR,0x00051010,,,
635,STAGEMOVE_PROBING_Z_UP_ERROR,0x00051011,,,
636,STAGEMOVE_MOVE_TO_SOAKING_ERROR,0x00051012,,,
637,STAGEMOVE_MOVE_TO_LOADING_POS_ERROR,0x00051013,,,
638,STAGEMOVE_THREE_LEG_DOWN_ERROR,0x00051014,,,
639,STAGEMOVE_THREE_LEG_UP_ERROR,0x00051015,,,
640,STAGEMOVE_NC_PAD_DOWN_ERROR,0x00051016,,,
641,STAGEMOVE_NC_PAD_UP_ERROR,0x00051017,,,
642,STAGEMOVE_WAFER_HIGH_CAM_COORD_MOVE_NCPAD_ERROR,0x00051018,,,
643,STAGEMOVE_WAFER_LOW_CAM_COORD_MOVE_NCPAD_ERROR,0x00051019,,,
644,STAGEMOVE_PROBING_COORD_MOVE_NCPAD_ERROR,0x00051020,,,
645,STAGEMOVE_SET_WAFER_CAM_BASE_POS_ERROR,0x00051021,,,
646,STAGEMOVE_TOUCH_SENSOR_SENSING_MOVE_NCPAD_ERROR,0x00051022,,,
647,STAGEMOVE_CARDCHANGE_ERROR,0x00051023,,,
648,STAGEMOVE_CC_AXIS_MOVE_TO_POS_ERROR,0x00051024,,,
649,STAGEMOVE_VAC_ON_OFF_ERROR,0x00051025,,,
650,STAGEMOVE_MONITORFOR_VAC_ERROR,0x00051026,,,
651,STAGEMOVE_REPEAT_REL_MOVE_ERROR,0x00051027,,,
652,STAGEMOVE_REL_MOVE_ERROR,0x00051028,,,
653,STAGEMOVE_V_MOVE_ERROR,0x00051029,,,
654,STAGEMOVE_NCPAD_MOVE_ERROR,0x00051030,,,
655,STAGEMOVE_MOVE_TO_MARK_ERROR,0x00051031,,,
656,STAGEMOVE_VM_VIEW_MOVE_ERROR,0x00051032,,,
657,STAGEMOVE_VM_WAFER_HIGH_VIEW_MOVE_ERROR,0x00051033,,,
658,STAGEMOVE_VM_REL_MOVE_ERROR,0x00051034,,,
659,STAGEMOVE_VM_ABS_MOVE_ERROR,0x00051035,,,
660,STAGEMOVE_LOADER_OPEN_ERROR,0x00051036,,,
661,STAGEMOVE_LOADER_CLOSE_ERROR,0x00051037,,,
662,STAGEMOVE_IS_LOADER_DOOR_OPEN_ERROR,0x00051038,,,
663,STAGEMOVE_IS_LOADER_DOOR_CLOSE_ERROR,0x00051039,,,
664,STAGEMOVE_FRONT_DOOR_LOCK_ERROR,0x00051040,,,
665,STAGEMOVE_FRONT_DOOR_UNLOCK_ERROR,0x00051041,,,
666,STAGEMOVE_IS_FRONT_DOOR_LOCK_ERROR,0x00051042,,,
667,STAGEMOVE_IS_FRONT_DOOR_UNLOCK_ERROR,0x00051043,,,
668,STAGEMOVE_IS_FRONT_DOOR_OPEN_ERROR,0x00051044,,,
669,STAGEMOVE_IS_FRONT_DOOR_CLOSE_ERROR,0x00051045,,,
670,STAGEMOVE_READ_VACUUM_ERROR,0x00051046,,,
671,STAGEMOVE_MANUAL_MOVE,0x00051047,,,
672,STAGEMOVE_IS_CARD_DOOR_OPEN_ERROR,0x00051048,,,
673,STAGEMOVE_IS_CARD_DOOR_CLOSE_ERROR,0x00051049,,,
674,STAGEMOVE_WAFER_CAM_EXPENDED,0x00051055,,,
675,STAGEMOVE_LOCK,0x00051056,,,
676,STAGE_MAIN_VAC_ERROR,0x00052000,,O,
677,LOADER_MAIN_VAC_ERROR,0x00052001,,O,
678,STAGE_MAIN_AIR_ERROR,0x00052002,,O,
679,LOADER_MAIN_AIR_ERROR,0x00052003,,O,
680,EMO_ERROR,0x00052004,,O,
681,EMO_ERROR_FORM_TESTER,0x00052005,,,
682,LOADER_PCW_LEAK_ALARM,0x00052006,,O,
683,TESTERHEAD_PURGE_AIR_ERROR,0x00052007,,O,
684,TESTERHEAD_PURGE_AIR_LOW_ERROR,0x00052008,,,
685,TESTERHEAD_PURGE_AIR_HI_ERROR,0x00052009,,,
686,BERNOULLIHANDLER_TRANSFER_UP_ERROR,0x00052050,,,
687,BERNOULLIHANDLER_TRANSFER_DOWN_ERROR,0x00052051,,,
688,BERNOULLIHANDLER_HOLD_ERROR,0x00052052,,,
689,BERNOULLIHANDLER_RELEASE_ERROR,0x00052053,,,
690,BERNOULLIHANDLER_ALIGN_ON_ERROR,0x00052054,,,
691,BERNOULLIHANDLER_ALIGN_OFF_ERROR,0x00052055,,,
692,BERNOULLIHANDLER_ALREADY_EXIST_ERROR,0x00052056,,,
693,BERNOULLIHANDLER_SUBS_LOST_ERROR,0x00052057,,,
694,BERNOULLIHANDLER_DEVICE_SIZE_ERROR,0x00052058,,,
695,BERNOULLIHANDLER_ANTIPAD_UP_ERROR,0x00052059,,,
696,BERNOULLIHANDLER_ANTIPAD_DOWN_ERROR,0x00052060,,,
697,STAGEMOVE_WAITFOR_VAC_ERROR,0x00052061,,,
698,PROBING_ERROR,0x00060000,,,
699,PROBING_Z_LIMIT_ERROR,0x00060001,,,
700,PROBING_SEQUENCE_INVALID_ERROR,0x00060002,,O,
701,CARD_CONTACT_LIMIT,0x00060003,,,
702,PROBING_START_ERROR,0x00060004,,,
703,WAIT_FOR_PROBING_START,0x00060005,,,
704,PROBING_TESTING_TIMEOUT,0x00060006,,O,
705,REPEATED_TESTING_TIMEOUT,0x00060007,,O,
706,PIN_PAD_MATCHED_TEST_TIMEOUT,0x00060008,,O,
707,WAIT_FOR_RESUME,0x00060009,,,
708,ZIF_STATE_NOT_READY,0x00060010,,,
709,STATE_UNKNOWN_ERROR,0x00070000,,,
710,LOGUPLOAD_FOLDER_NOT_EXIST,0x00080000,,,
711,LOGUPLOAD_CONNECT_FAIL,0x00080001,,O,
712,LOGUPLOAD_CREATE_DIRECTORY_FAIL,0x00080002,,,
713,LOGUPLOAD_UPLOAD_LOG_FAIL,0x00080003,,,
714,LOGUPLOAD_DEVICE_UPLOAD_FAIL,0x00080004,,,
715,LOGUPLOAD_DEVICE_DOWNLOAD_FAIL,0x00080005,,,
716,LOGUPLOAD_LOGIN_OR_PASSWORD_INCORRECT,0x00080006,,O,
717,RESULTMAP_FOLDER_NOT_EXIST,0x00082000,,,
718,RESULTMAP_CONNECT_FAIL,0x00082001,,,
719,RESULTMAP_CREATE_DIRECTORY_FAIL,0x00082002,,,
720,RESULTMAP_LOG_FAIL,0x00082003,,,
721,RESULTMAP_UPLOAD_FAIL,0x00082004,,,
722,RESULTMAP_DOWNLOAD_FAIL,0x00082005,,,
723,RESULTMAP_MAKE_PATH_FAIL,0x00082006,,,
724,RESULTMAP_GET_MAPFILE_FAIL,0x00082007,,,
725,RESULTMAP_WRONG_PATH_FAIL,0x00082008,,,
726,RESULTMAP_UNKNOW_TRANSFER_METHOD_FAIL,0x00082009,,,
727,RESULTMAP_SEND_TO_CELL_FAIL,0x0008200A,,,
728,EVENT_UNKNOWN,0x00090000,,,
729,EVENT_START,0x00090001,,,
730,EVENT_END,0x00090002,,,
731,EVENT_ERROR,0x00090003,,,
732,COMMAND_UNKNOWN,0x00091000,,,
733,COMMAND_START,0x00091001,,,
734,COMMAND_END,0x00091002,,,
735,COMMAND_ERROR,0x00091003,,O,
736,NOTIFY_ERROR,0x00092000,,,
737,NOTIFY_COMM_ERROR,0x00092001,,,
738,TESTER_RESPONDS_TIMEOUT,0x00092002,,,
739,SYSTEM_ERROR,0x00100000,,O,
740,LOT_START,0x00100001,,O,
741,LOT_END,0x00100002,,O,
742,NOT_EXIST_FOUP,0x00100003,,,
743,LOT_PAUSE_TIMEOUT,0x00100004,,O,
744,LOT_PAUSE_TIMEOUT_LOADER,0x00100005,,O,
745,ALREADY_USING_STAGE,0x00100006,,,
746,LOT_IS_NOT_RUNNING,0x00100020,,,
747,LOT_NOT_READY,0x00100021,,,
748,SLOT_VARIFY_ERROR,0x00100022,,,
749,LOT_ASSIGNED_WAFER_REMAIN,0x00100023,,,
750,LOT_ASSIGNED_WAFER_MISSMATCH,0x00100024,,O,
751,STOP_BEFORE_PROBING,0x00101001,,O,
752,STOP_AFTER_PROBING,0x00101002,,O,
753,STOP_AFTER_PROBING_RESERVE,0x00101003,,,
754,PMI_Start,0x00108001,,,
755,PMI_OK,0x00108002,,,
756,PMI_FAIL,0x00108003,,O,
757,PMI_END,0x00108004,,,
758,PMI_Focusing_Failure,0x00108005,,,
759,PMI_AutoLight_Failure,0x00108006,,,
760,PMI_Pattern_Filter_FAIL,0x00108007,,,
761,FoupOPModule_OK,0x00110001,,,
762,FoupOPModule_Failure,0x00110002,,,
763,FoupCoverNormal12Inch_OK,0x00110003,,,
764,FoupCoverNormal12Inch_Failure,0x00110004,,,
765,FoupCoverNormal6Inch_OK,0x00110005,,,
766,FoupCoverNormal6Inch_Failure,0x00110006,,,
767,FoupCoverNormal8Inch_OK,0x00110007,,,
768,FoupCoverNormal8Inch_Failure,0x00110008,,,
769,FoupDockingPlate12Inch_OK,0x00110009,,,
770,FoupDockingPlate12Inch_Failure,0x00110010,,,
771,FoupDockingPlate6Inch_OK,0x00110011,,,
772,FoupDockingPlate6Inch_Failure,0x00110012,,,
773,FoupDockingPlate8Inch_OK,0x00110013,,,
774,FoupDockingPlate8Inch_Failure,0x00110014,,,
775,Foup8InchTilt_OK,0x00110015,,,
776,Foup8InchTilt_Failure,0x00110016,,,
777,FoupDockingPort12Inch_OK,0x00110017,,,
778,FoupDockingPort12Inch_Failure,0x00110018,,,
779,FoupDockingPort6Inch_OK,0x00110019,,,
780,FoupDockingPort6Inch_Failure,0x00110020,,,
781,FoupDockingPort8Inch_OK,0x00110021,,,
782,FoupDockingPort8Inch_Failure,0x00110022,,,
783,FoupDockingPort40mm_12Inch_OK,0x00110023,,,
784,FoupDockingPort40mm_12Inch_Failure,0x00110024,,,
785,FoupDockingPort40mm_6Inch_OK,0x00110025,,,
786,FoupDockingPort40mm_6Inch_Failure,0x00110026,,,
787,FoupDockingPort40mm_8Inch_OK,0x00110027,,,
788,FoupDockingPort40mm_8Inch_Failure,0x00110028,,,
789,FoupOpener12Inch_OK,0x00110029,,,
790,FoupOpener12Inch_Failure,0x00110030,,,
791,MARK_Start,0x00113001,,,
792,MARK_Move_OK,0x00113002,,,
793,MARK_Move_Failure,0x00113003,,,
794,MARK_Focusing_Start,0x00113004,,,
795,MARK_Focusing_OK,0x00113005,,,
796,MARK_Focusing_Failure,0x00113006,,,
797,MARK_Pattern_Start,0x00113007,,,
798,MARK_Pattern_OK,0x00113008,,,
799,MARK_Pattern_Failure,0x00113009,,,
800,Wafer_Edge_Start,0x00114001,,,
801,Wafer_Edge_OK,0x00114002,,,
802,Wafer_Edge_Failure,0x00114003,,,
803,Wafer_EdgeDection_Skip,0x00114004,,,
804,Wafer_Register_Manual_Edge_OK,0x00114005,,,
805,Wafer_Register_Manual_Edge_Failure,0x00114006,,,
806,Wafer_Edge_Disable,0x00114007,,,
807,Wafer_Low_Mag_Start,0x00114011,,,
808,Wafer_Low_Mag_OK,0x00114012,,,
809,Wafer_Low_Mag_Failure,0x00114013,,,
810,Wafer_Register_LowMag_Pattern_OK,0x00114014,,,
811,Wafer_Register_LowMag_Pattern_Failure,0x00114015,,,
812,Wafer_Delete_LowMag_Pattern_OK,0x00114016,,,
813,Wafer_Delete_LowMag_Pattern_Failure,0x00114017,,,
814,Wafer_High_Mag_1HeightProfiling_Start,0x00114021,,,
815,Wafer_High_Mag_5HeightProfiling_Start,0x00114022,,,
816,Wafer_High_Mag_9HeightProfiling_Start,0x00114023,,,
817,Wafer_High_Mag_OK,0x00114024,,,
818,Wafer_High_Mag_Failure,0x00114025,,,
819,Wafer_High_Mag_Skip,0x00114026,,,
820,Wafer_Verify_Align_Start,0x00114031,,,
821,Wafer_Verify_Align_OK,0x00114032,,,
822,Wafer_Verify_Align_Failure,0x00114033,,,
823,Wafer_Index_Align_Edge_Start,0x00114041,,,
824,Wafer_Index_Align_Edge_OK,0x00114042,,,
825,Wafer_Index_Align_Edge_Failure,0x00114043,,,
826,Wafer_Index_Align_Edge_Skip,0x00114044,,,
827,Wafer_Index_Align_Pattern_Start,0x00114051,,,
828,Wafer_Index_Align_Pattern_OK,0x00114052,,,
829,Wafer_Index_Align_Pattern_Failure,0x00114053,,,
830,Pin_High_Mag_Align_Start,0x00115001,,,
831,Pin_High_Mag_Align_Fail,0x00115002,,,
832,Pin_High_Mag_Align_OK,0x00115003,,,
833,Pin_To_Pad_Alignment_OK,0x00115004,,,
834,Pin_To_Pad_Alignment_Fail,0x00115005,,,
835,Pin_Low_Mag_Align_Start,0x00115006,,,
836,Pin_Low_Mag_Align_Fail,0x00115007,,,
837,Pin_Low_Mag_Align_OK,0x00115008,,,
838,Pin_Low_Mag_Align_Skip,0x00115009,,,
839,Register_Touch_Sensor_Position_OK,0x00116001,,,
840,Register_Touch_Sensor_Position_Failure,0x00116002,,,
841,Register_Touch_Sensor_Base_Position_OK,0x00116011,,,
842,Register_Touch_Sensor_Base_Position_Failure,0x00116012,,,
843,Register_Touch_Sensor_Pad_Ref_Position_OK,0x00116021,,,
844,Register_Touch_Sensor_Pad_Ref_Position_Failure,0x00116022,,,
845,Register_Touch_Sensor_Offset_OK,0x00116031,,,
846,Register_Touch_Sensor_Offset_Failure,0x00116032,,,
847,Register_Touch_Sensor_Setup_UNDEFINED,0x00116033,,,
848,Touch_Sensor_Focusing_Failure,0x00116034,,,
849,Touch_Sensor_Move_Position_Failure,0x00116035,,,
850,Touch_Sensor_Out_Of_Tolereance,0x00116036,,,
