PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[2].SamplePinAlignmentPinCount;627;Sample Pin Count;Gordon;;10025001;;0;10000;1;1;Number of pin that will be proceed in sample alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[2].SamplePinToleranceX;628;Pin Align Sample Pin Tolerance X;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance X in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[2].SamplePinToleranceY;629;Pin Align Sample Pin Tolerance Y;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Y in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[2].SamplePinToleranceZ;630;Pin Align Sample Pin Tolerance Z;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance Z in sample alignment;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[2].SourceName;20000801;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].CardCenterToleranceX;634;Pin Align Card Center Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].CardCenterToleranceY;635;Pin Align Card Center Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].CardCenterToleranceZ;636;Pin Align Card Center Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of probecard center position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].EachPinToleranceX;637;Pin Align Each Pos Tolerance X;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position X;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].EachPinToleranceY;638;Pin Align Each Pos Tolerance Y;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Y;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].EachPinToleranceZ;639;Pin Align Each Pos Tolerance Z;Gordon;;10025001;micron;0;10000;1;1;Tolerance of individual pin position Z;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].MinMaxZDiffLimit;641;Pin Align Min/Max Height Tolerance;Gordon;;10025001;micron;0;10000;1;1;Tolerance of maximum height difference in pin alignment result;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].PinCount;642;Processing Pin Count;Gordon;;10025001;;1;10000;1;1;Number of pin that will be proceed in alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].SamplePinAlignmentPinCount;643;Sample Pin Count;Gordon;;10025001;;0;10000;1;1;Number of pin that will be proceed in sample alignment process;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[3].SamplePinToleranceX;644;Pin Align Sample Pin Tolerance X;Gordon;;10025001;micron;1;10;1;1;Tolerance of pin position tolerance X in sample alignment;0
